000009.SZ,中国宝安
300789.SZ,唐源电气
688062.SH,迈威生物-U
688516.SH,奥特维
603939.SH,益丰药房
603368.SH,柳药集团
688503.SH,聚和材料
300985.SZ,致远新能
002668.SZ,奥马电器
000042.SZ,中洲控股
605567.SH,春雪食品
603818.SH,曲美家居
002521.SZ,齐峰新材
600436.SH,片仔癀
002792.SZ,通宇通讯
601996.SH,丰林集团
002482.SZ,ST广田
002221.SZ,东华能源
000798.SZ,中水渔业
688270.SH,臻镭科技
300561.SZ,汇金科技
300614.SZ,百川畅银
000413.SZ,东旭光电
000090.SZ,天健集团
601811.SH,新华文轩
002569.SZ,ST步森
001289.SZ,龙源电力
603551.SH,奥普家居
300785.SZ,值得买
300486.SZ,东杰智能
300929.SZ,华骐环保
603099.SH,长白山
600239.SH,ST云城
002665.SZ,首航高科
301153.SZ,中科江南
002155.SZ,湖南黄金
603185.SH,上机数控
600573.SH,惠泉啤酒
002461.SZ,珠江啤酒
300103.SZ,达刚控股
603183.SH,建研院
600088.SH,中视传媒
002932.SZ,明德生物
601615.SH,明阳智能
688069.SH,德林海
600839.SH,四川长虹
002384.SZ,东山精密
603958.SH,哈森股份
600653.SH,申华控股
000927.SZ,中国铁物
600650.SH,锦江在线
002942.SZ,新农股份
600198.SH,大唐电信
002836.SZ,新宏泽
600292.SH,远达环保
002033.SZ,丽江股份
300209.SZ,有棵树
601098.SH,中南传媒
603916.SH,苏博特
300003.SZ,乐普医疗
300343.SZ,联创股份
301115.SZ,建科股份
000729.SZ,燕京啤酒
002830.SZ,名雕股份
002663.SZ,普邦股份
300688.SZ,创业黑马
600598.SH,北大荒
600493.SH,凤竹纺织
300079.SZ,数码视讯
000702.SZ,正虹科技
000419.SZ,通程控股
600076.SH,康欣新材
600853.SH,龙建股份
600712.SH,南宁百货
003037.SZ,三和管桩
002760.SZ,凤形股份
000726.SZ,鲁  泰Ａ
301106.SZ,骏成科技
603000.SH,人民网
301156.SZ,美农生物
001896.SZ,豫能控股
300810.SZ,中科海讯
603025.SH,大豪科技
601588.SH,北辰实业
600370.SH,三房巷
000705.SZ,浙江震元
002742.SZ,ST三圣
002608.SZ,江苏国信
002309.SZ,ST中利
000159.SZ,国际实业
002037.SZ,保利联合
600620.SH,天宸股份
603660.SH,苏州科达
600895.SH,张江高科
002588.SZ,史丹利
002234.SZ,民和股份
603883.SH,老百姓
300322.SZ,硕贝德
000089.SZ,深圳机场
688108.SH,赛诺医疗
002146.SZ,荣盛发展
000573.SZ,粤宏远Ａ
002405.SZ,四维图新
300642.SZ,透景生命
600506.SH,香梨股份
002538.SZ,司尔特
002310.SZ,东方园林
000677.SZ,恒天海龙
603706.SH,东方环宇
605086.SH,龙高股份
000037.SZ,深南电A
300043.SZ,星辉娱乐
301025.SZ,读客文化
300737.SZ,科顺股份
002130.SZ,沃尔核材
000517.SZ,荣安地产
002078.SZ,太阳纸业
002654.SZ,万润科技
002172.SZ,澳洋健康
300833.SZ,浩洋股份
000918.SZ,嘉凯城
003001.SZ,中岩大地
688520.SH,神州细胞-U
300269.SZ,联建光电
000503.SZ,国新健康
300492.SZ,华图山鼎
002582.SZ,好想你
601019.SH,山东出版
000727.SZ,冠捷科技
301176.SZ,逸豪新材
600657.SH,信达地产
600386.SH,北巴传媒
000766.SZ,通化金马
600476.SH,湘邮科技
002043.SZ,兔 宝 宝
300906.SZ,日月明
300570.SZ,太辰光
603880.SH,南卫股份
600622.SH,光大嘉宝
301004.SZ,嘉益股份
600373.SH,中文传媒
300755.SZ,华致酒行
601233.SH,桐昆股份
600642.SH,申能股份
300864.SZ,南大环境
300658.SZ,延江股份
000035.SZ,中国天楹
600969.SH,郴电国际
603017.SH,中衡设计
600725.SH,云维股份
300355.SZ,蒙草生态
001213.SZ,中铁特货
603739.SH,蔚蓝生物
300306.SZ,远方信息
002725.SZ,跃岭股份
600908.SH,无锡银行
300736.SZ,百邦科技
000520.SZ,长航凤凰
300042.SZ,朗科科技
300218.SZ,安利股份
600379.SH,宝光股份
002645.SZ,华宏科技
600173.SH,卧龙地产
300171.SZ,东富龙
603111.SH,康尼机电
000566.SZ,海南海药
000010.SZ,美丽生态
600905.SH,三峡能源
600236.SH,桂冠电力
002616.SZ,长青集团
600261.SH,阳光照明
002039.SZ,黔源电力
000061.SZ,农 产 品
300192.SZ,科德教育
002825.SZ,纳尔股份
603682.SH,锦和商管
600979.SH,广安爱众
600251.SH,冠农股份
600986.SH,浙文互联
300739.SZ,明阳电路
002278.SZ,神开股份
002344.SZ,海宁皮城
002342.SZ,巨力索具
603517.SH,绝味食品
002847.SZ,盐津铺子
600583.SH,海油工程
603976.SH,正川股份
300635.SZ,中达安
600883.SH,博闻科技
603199.SH,九华旅游
688466.SH,金科环境
003012.SZ,东鹏控股
603709.SH,中源家居
002893.SZ,华通热力
600767.SH,*ST运盛
601869.SH,长飞光纤
600682.SH,南京新百
301048.SZ,金鹰重工
688295.SH,中复神鹰
003013.SZ,地铁设计
300197.SZ,节能铁汉
603810.SH,丰山集团
301265.SZ,华新环保
300214.SZ,日科化学
600886.SH,国投电力
601963.SH,重庆银行
300130.SZ,新国都
301216.SZ,万凯新材
300462.SZ,华铭智能
600540.SH,新赛股份
600029.SH,南方航空
002905.SZ,金逸影视
603589.SH,口子窖
603669.SH,灵康药业
000869.SZ,张  裕Ａ
300426.SZ,唐德影视
600608.SH,ST沪科
603789.SH,星光农机
002936.SZ,郑州银行
603991.SH,至正股份
300685.SZ,艾德生物
000897.SZ,津滨发展
603043.SH,广州酒家
600666.SH,*ST瑞德
002084.SZ,海鸥住工
603173.SH,福斯达
600766.SH,园城黄金
301158.SZ,德石股份
300526.SZ,*ST中潜
002127.SZ,南极电商
000008.SZ,神州高铁
300435.SZ,中泰股份
600050.SH,中国联通
002503.SZ,搜于特
605011.SH,杭州热电
688047.SH,龙芯中科
001206.SZ,依依股份
300357.SZ,我武生物
600939.SH,重庆建工
600814.SH,杭州解百
000601.SZ,韶能股份
300947.SZ,德必集团
601038.SH,一拖股份
002929.SZ,润建股份
000027.SZ,深圳能源
600057.SH,厦门象屿
600169.SH,太原重工
600710.SH,苏美达
300957.SZ,贝泰妮
301042.SZ,安联锐视
600866.SH,星湖科技
300027.SZ,华谊兄弟
600455.SH,博通股份
600683.SH,京投发展
300065.SZ,海兰信
600242.SH,*ST中昌
300640.SZ,德艺文创
002526.SZ,山东矿机
000966.SZ,长源电力
000030.SZ,富奥股份
301189.SZ,奥尼电子
300418.SZ,昆仑万维
000703.SZ,恒逸石化
600530.SH,交大昂立
